Relations;Année;Temps estimé en minutes
PARIS - NARBONNE;1944;
PARIS - NARBONNE;1981;454.0
PARIS - NARBONNE;1985;456.0
PARIS - NARBONNE;1932;
PARIS - NARBONNE;1941;
PARIS - NARBONNE;1931;
PARIS - NARBONNE;1940;
PARIS - NARBONNE;1945;
PARIS - NARBONNE;1997;328.0
PARIS - NARBONNE;1999;332.0
PARIS - NARBONNE;2012;257.0
PARIS - NARBONNE;1939;
PARIS - NARBONNE;2013;257.0
PARIS - NARBONNE;2010;257.0
PARIS - NARBONNE;1968;498.0
PARIS - NARBONNE;1990;349.0
PARIS - NARBONNE;2019;250.0
PARIS - NARBONNE;1998;329.0
PARIS - NARBONNE;2018;255.0
PARIS - NARBONNE;1978;452.0
PARIS - NARBONNE;1979;455.0
PARIS - NARBONNE;1994;309.0
PARIS - NARBONNE;2000;330.0
PARIS - NARBONNE;1971;467.0
PARIS - NARBONNE;1937;
PARIS - NARBONNE;2017;257.0
PARIS - NARBONNE;2011;257.0
PARIS - NARBONNE;1969;466.0
PARIS - NARBONNE;1974;449.0
PARIS - NARBONNE;2005;265.0
PARIS - NARBONNE;1920;
PARIS - NARBONNE;1934;
PARIS - NARBONNE;1952;
PARIS - NARBONNE;1982;453.0
PARIS - NARBONNE;2014;257.0
PARIS - NARBONNE;1988;349.0
PARIS - NARBONNE;1976;449.0
PARIS - NARBONNE;1992;347.0
PARIS - NARBONNE;1964;527.0
PARIS - NARBONNE;2003;265.0
PARIS - NARBONNE;1965;513.0
PARIS - NARBONNE;1936;
PARIS - NARBONNE;1947;
PARIS - NARBONNE;1942;
PARIS - NARBONNE;1955;
PARIS - NARBONNE;1993;342.0
PARIS - NARBONNE;1958;570.0
PARIS - NARBONNE;2001;265.0
PARIS - NARBONNE;1960;527.0
PARIS - NARBONNE;1953;
PARIS - NARBONNE;1991;347.0
PARIS - NARBONNE;2008;261.0
PARIS - NARBONNE;1966;510.0
PARIS - NARBONNE;1933;
PARIS - NARBONNE;1935;
PARIS - NARBONNE;1949;
PARIS - NARBONNE;1951;
PARIS - NARBONNE;2007;264.0
PARIS - NARBONNE;1995;307.0
PARIS - NARBONNE;1967;500.0
PARIS - NARBONNE;1928;
PARIS - NARBONNE;1948;
PARIS - NARBONNE;1938;
PARIS - NARBONNE;1984;443.0
PARIS - NARBONNE;2006;262.0
PARIS - NARBONNE;1943;
PARIS - NARBONNE;1946;
PARIS - NARBONNE;1954;608.0
PARIS - NARBONNE;1961;
PARIS - NARBONNE;1973;466.0
PARIS - NARBONNE;2004;265.0
PARIS - NARBONNE;1962;
PARIS - NARBONNE;1975;449.0
PARIS - NARBONNE;1977;449.0
PARIS - NARBONNE;1957;
PARIS - NARBONNE;1987;350.0
PARIS - NARBONNE;1929;
PARIS - NARBONNE;1956;
PARIS - NARBONNE;1983;453.0
PARIS - NARBONNE;1950;
PARIS - NARBONNE;1980;455.0
PARIS - NARBONNE;1986;352.0
PARIS - NARBONNE;2002;265.0
PARIS - NARBONNE;2009;257.0
PARIS - NARBONNE;1972;467.0
PARIS - NARBONNE;1996;329.0
PARIS - NARBONNE;1989;349.0
PARIS - NARBONNE;1970;467.0
PARIS - NARBONNE;1930;
PARIS - NARBONNE;1959;
PARIS - NARBONNE;1963;527.0
PARIS - NARBONNE;2015;257.0
PARIS - NARBONNE;2016;260.0
