Date;Départ;Arrivée;Nombre de trains programmés;Nombre de trains ayant circulé;Nombre de trains annulés;Nombre de trains en retard à l'arrivée;Taux de régularité;Nombre de trains à l'heure pour un train en retard à l'arrivée
2020-12;TOULOUSE-MATABIAU;BAYONNE;83;79;4;11;86.07594936708861;6.181818181818182
2020-11;TOULOUSE-MATABIAU;BAYONNE;40;40;0;1;97.5;39.0
2020-10;TOULOUSE-MATABIAU;BAYONNE;108;99;9;19;80.8080808080808;4.2105263157894735
2020-09;TOULOUSE-MATABIAU;BAYONNE;119;112;7;18;83.92857142857143;5.222222222222222
2020-08;TOULOUSE-MATABIAU;BAYONNE;124;118;6;19;83.89830508474576;5.2105263157894735
2019-12;TOULOUSE-MATABIAU;BAYONNE;19;19;0;1;94.73684210526316;18.000000000000025
2019-11;TOULOUSE-MATABIAU;BAYONNE;89;82;7;7;91.46341463414636;10.71428571428572
2019-10;TOULOUSE-MATABIAU;BAYONNE;106;95;11;7;92.63157894736842;12.571428571428578
2019-09;TOULOUSE-MATABIAU;BAYONNE;116;114;2;9;92.10526315789474;11.666666666666671
2019-08;TOULOUSE-MATABIAU;BAYONNE;112;109;3;11;89.90825688073394;8.909090909090908
2019-07;TOULOUSE-MATABIAU;BAYONNE;124;124;0;23;81.45161290322581;4.391304347826087
2019-06;TOULOUSE-MATABIAU;BAYONNE;120;117;3;13;88.88888888888889;7.999999999999997
2019-05;TOULOUSE-MATABIAU;BAYONNE;124;122;2;9;92.62295081967213;12.555555555555555
2019-04;TOULOUSE-MATABIAU;BAYONNE;120;120;0;27;77.5;3.4444444444444446
2019-03;TOULOUSE-MATABIAU;BAYONNE;10;10;0;3;70.0;2.333333333333333
2019-02;TOULOUSE-MATABIAU;BAYONNE;0;0;0;0;0.0;0.0
2019-01;TOULOUSE-MATABIAU;BAYONNE;23;21;2;2;90.47619047619048;9.5
2018-12;TOULOUSE-MATABIAU;BAYONNE;42;42;0;3;92.85714285714286;13.0
2018-11;TOULOUSE-MATABIAU;BAYONNE;0;0;0;0;0.0;0.0
2018-10;TOULOUSE-MATABIAU;BAYONNE;43;40;3;3;92.5;12.333333333333334
2018-09;TOULOUSE-MATABIAU;BAYONNE;108;104;4;12;88.46153846153847;7.666666666666667
2018-08;TOULOUSE-MATABIAU;BAYONNE;113;112;1;31;72.32142857142857;2.6129032258064515
2018-07;TOULOUSE-MATABIAU;BAYONNE;92;88;4;38;56.81818181818182;1.3157894736842106
2018-06;TOULOUSE-MATABIAU;BAYONNE;58;56;2;6;89.28571428571429;8.333333333333334
2018-05;TOULOUSE-MATABIAU;BAYONNE;58;57;1;8;85.96491228070175;6.125
2018-04;TOULOUSE-MATABIAU;BAYONNE;42;42;0;4;90.47619047619048;9.5
2018-03;TOULOUSE-MATABIAU;BAYONNE;117;116;1;11;90.51724137931036;9.545454545454543
2018-02;TOULOUSE-MATABIAU;BAYONNE;89;82;7;18;78.04878048780488;3.555555555555556
2018-01;TOULOUSE-MATABIAU;BAYONNE;28;28;0;4;85.71428571428571;6.0
