Nom de la gare;Code UIC;Code postal;Direction Régionale Gares;Segmentation DRG;Segmentation Marketing;% Non Voyageurs;Total Voyageurs 2024;Total Voyageurs + Non voyageurs 2024;Total Voyageurs 2023;Total Voyageurs + Non voyageurs 2023;Total Voyageurs 2022;Total Voyageurs + Non voyageurs 2022;Total Voyageurs 2021;Total Voyageurs + Non voyageurs 2021;Total Voyageurs 2020;Total Voyageurs + Non voyageurs 2020;Total Voyageurs 2019;Total Voyageurs + Non voyageurs 2019;Total Voyageurs 2018;Total Voyageurs + Non voyageurs 2018;Total Voyageurs 2017;Total Voyageurs + Non voyageurs 2017;Total Voyageurs 2016;Total Voyageurs + Non voyageurs 2016;Total Voyageurs 2015;Total Voyageurs + Non voyageurs 2015
Bayonne;87673004;64100;DRG NLLE AQUITAINE;A;Ville;0.11;1686266;1894681;1475383;1657734;1322129;1485538;1000265;1123893;660529;742168;948134;1065319;829006;931467;901165;1012545;800871;899855;839085;942793
Toulouse Matabiau;87611004;31500;DRG OCCITANIE SUD;A;Hub;0.35;14522596;22342455;14526190;22347985;12869088;19798597;10248180;15766431;7616091;11717063;9892175;15218730;8712234;13403438;10309397;15860611;9539321;14675879;10010314;15400484
Cerbère;87785006;66290;DRG OCCITANIE SUD;C;Proximité;0.0;85261;85261;78528;78528;71860;71860;51686;51686;34933;34933;53142;53142;49136;49136;55700;55700;51893;51893;58653;58653
Nîmes Pont du Gard;87703975;30129;DRG OCCITANIE SUD;A;;0.2;1168501;1460626;1054535;1318168;745834;932292;590063;737579;405086;506358;15135;18919;0;0;0;0;0;0;0;0
Perpignan;87784009;66000;DRG OCCITANIE SUD;A;Ville;0.2;2053794;2567242;2058369;2572961;1809687;2262109;1496637;1870796;1050546;1313182;1390185;1737732;1370425;1713031;1629171;2036464;1562086;1952608;1758375;2197968
Tarbes;87671008;65000;DRG OCCITANIE SUD;B;Ville;0.1899999999999999;861314;1063351;709416;875822;639135;789055;492773;608362;334030;412383;428617;529157;407099;502591;512070;632185;482700;595926;516136;637206
Nîmes;87775007;30000;DRG OCCITANIE SUD;A;Ville;0.4000000000000001;4355591;7259318;4575772;7626287;4316299;7193832;3376038;5626731;2369197;3948663;3585941;5976568;3669749;6116249;4105151;6841918;3937669;6562782;3794045;6323409
Béziers;87781005;34500;DRG OCCITANIE SUD;A;Ville;0.2;1693346;2116682;1732904;2166130;1490704;1863381;1192730;1490913;831286;1039108;1129019;1411274;1214111;1517639;1441893;1802366;1374338;1717923;1257794;1572243
Montpellier Sud de France;87688887;34000;DRG OCCITANIE SUD;A;LGV;0.21;2514013;3182294;1918295;2428221;1660814;2102296;1297998;1643035;1013031;1282317;908651;1150191;410346;519425;0;0;0;0;0;0
Latour-de-Carol - Enveitg;87611483;66760;DRG OCCITANIE SUD;C;Proximité;0.0;91178;91178;95090;95090;76304;76304;53545;53545;37219;37219;56705;56705;47425;47425;49671;49671;48806;48806;51611;51611
Montpellier Saint-Roch;87773002;34011;DRG OCCITANIE SUD;A;Hub;0.37;7534414;11959388;8061640;12796255;7646291;12136970;5850564;9286609;4220874;6699801;6393777;10148853;7123630;11307349;8667721;13758287;8131336;12906884;8013271;12719479
Albi;87615005;81000;DRG OCCITANIE SUD;B;Proximité;0.2;575993;719991;568827;711034;531922;664902;391271;489089;287025;358781;415630;519537;368147;460184;432819;541024;392651;490814;412872;516090
